year,case,title,documenturl,courtline,fileddate,citation,parallelcite,docketnum,summary,searchsnippet1,searchsnippet2,searchsnippet3,searchsnippet4
2008,,"Athlete's Foot Brands, LLC v. Turner Phase IV, LLC",https://www.westlaw.com/Document/I9559fbac96cc11ddb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=196&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Florida.",1-Oct-08,581 F.Supp.2d 1250,2008 WL 4527862,08-22582-CIV-MOORESI,"TRADEMARKS - Injunction. Preliminary injunction was required to bar infringement of franchisor's trademark, trade name, and proprietary information.","...trade dress, and proprietary and confidential information and systems, enforcing non- compete provision in franchise agreements, and requiring franchisee to return confidential...",...had likelihood of success on merits of claim to enforce non- compete provision; (3) franchisor would suffer irreparable injury absent preliminary...,...of Relief 212IV(L) Trade or Business 212 1383 k. Non- competition and non-solicitation issues. (Formerly 212k138.39 Franchisor or athletic footwear...,"...established likelihood of success on merits of claims to enforce non- compete provision in franchise agreements, since provision was not overbroad or..."
2010,,"MCS Services, Inc. v. Jones",https://www.westlaw.com/Document/Iad8f3441d14b11dfb5fdfcf739be147c/View/FullText.html?listSource=Search&list=CASE&rank=139&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Maryland.",1-Oct-10,Not Reported in F.Supp.2d,2010 WL 3895380,CIV.A WMN-10-1042,LABOR AND EMPLOYMENT - Contracts. Scope of noncompetition agreement was not reasonably necessary to protect employer's goodwill.,...95 116(2) k. Restriction necessary for protection. Scope of noncompetition agreement was not properly bounded as it was not reasonably...,"...employment of Jones, a former MCS employee who signed a noncompetition and confidentiality agreement with MCS, and the alleged misappropriation of...","...his employment, Jones signed an Employee Confidentiality, NonSolicitation, and Non  Compete Agreement (Agreement) in early 2007. 3 The Agreement sought to...","...with Jones's continued employment by direct competitor Océ, violate the noncompetition and nondisclosure provisions of the Agreement (Count I). In addition..."
2006,,Variable Annuity Life Ins. Co. v. Adel,https://www.westlaw.com/Document/I5730007d527011dbb0d3b726c66cf290/View/FullText.html?listSource=Search&list=CASE&rank=293&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Court of Appeals, Eleventh Circuit.",2-Oct-06,197 Fed.Appx. 905,2006 WL 2808244,06-12884,"David and Daniel Adel appeal the grant of preliminary injunction in this action against them for misappropriation of trade secrets and enforcement of a covenant not to compete. Variable Annuity Life Insurance Company, the Adels' former employer, filed a complaint against the Adels with jurisdiction based on diversity of citizenship. 28 U.S.C. §...","...them for misappropriation of trade secrets and enforcement of a covenant not to compete.  Variable Annuity Life Insurance Company, the Adels' former employer, filed...",,,
2008,,Tyler v. Sento Corporation,https://www.westlaw.com/Document/I0fed7fd0c50911e79c8f8bb0457c507d/View/FullText.html?listSource=Search&list=CASE&rank=413&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Ohio, Eastern Division.",2-Oct-08,Slip Copy,2008 WL 11383294,5:08 CV 1047,"Plaintiff has filed a motion for prejudgment attachment and requested a hearing (Document 28). In his motion, plaintiff asks the Court to issue an order of attachment for the personal property and assets of Defendant Sento Corporation (Property) and/or the proceeds of the sale of the Property pursuant to Ohio Revised Code (ORC)...","...claim, but does include a copy of plaintiff's employment or non- competition agreement. Plaintiff provides no facts to support the grounds for...",,,
2009,,Reddy Ice Corporation v. Wilbanks,https://www.westlaw.com/Document/Ia69caa503fac11e8a054a06708233710/View/FullText.html?listSource=Search&list=CASE&rank=105&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Georgia, Rome Division.",2-Oct-09,Slip Copy,2009 WL 10700314,4:08-CV-0198-HLM,"This case is before the Court on Defendants' Motion for Summary Judgment [54], Defendants' Notice of Objection to, Or in the Alternative, Motion to Strike, the August 17, 2009, Declaration of Darren Boruff [64], and Defendants' Notice of Objection to, Or in the Alternative, Motion to Strike, the August 17, 2009, Declaration of Lee Ewing [65]....","...The Court will refer to this first provision as the  non- competition provision. Second, the agreement states: Distributor and each of the...",...refer to this provision as the non-solicitation provision. The non- competition provision provides that Defendants NCCI and Wilbanks are barred from...,...in the present Motionthat the territorial restriction of the non- competition provision was invalid because it was not ascertainable at the...,"...their Motion for Summary Judgment. First, Defendants argue that the non- competition provision is invalid because the territorial restriction allows territory to..."
2006,,"Home Owners Management Services, Inc. v. ProHome Intern., LLC",https://www.westlaw.com/Document/I1655386256d811db8c2e81424171f5b3/View/FullText.html?listSource=Search&list=CASE&rank=400&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Minnesota.",3-Oct-06,Not Reported in F.Supp.2d,2006 WL 2850586,CIV.04 2905 DWF/AJB,"Home Owners Management Services, Inc., and Charles and Tracey Gundersen, individually; Northern California ProHome, Inc. and Brenda P. Roberts, individually; ProHome of North Texas, LLC and Kim D. Jackson, individually; TMP and Associates, Inc. and Michael Connor, individually; The Warranty Team, LLC and Karen Erny and James Kuhn, individually;...",...an injunction granting an extension of the de-identification and non- compete provisions of the Agreement. ProHome asserts that where a contract...,,,
2008,,"Saldanha v. Pediatrix Medical Group of South Carolina, P.A.",https://www.westlaw.com/Document/I824d9248995311ddb7e683ba170699a5/View/FullText.html?listSource=Search&list=CASE&rank=429&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. South Carolina, Greenville Division.",3-Oct-08,Not Reported in F.Supp.2d,2008 WL 4542872,CA 6:07-4001-HMH-WMC,"This matter is before the court for review of the Report and Recommendation of United States Magistrate Judge William M. Catoe, made in accordance with 28 U.S.C. § 636(b)(1) (2006) and Local Civil Rule 73.02 for the District of South Carolina. Plaintiff, Rita Saldanha, M.D. (Dr.Saldanha), was a partner in Greenville Neonatology,...","...claims against her former employer for declaratory judgment that the non- compete provisions in her Employment Agreement are invalid (Count I), discrimination...","...VI, which include the claims for declaratory judgment that the non- compete provisions in the Agreement are invalid, for breach of Agreement...",,
2010,,"Brown & Brown, Inc. v. Cola",https://www.westlaw.com/Document/Iecfc4789d2c911df89dabf2e8566150b/View/FullText.html?listSource=Search&list=CASE&rank=745&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Pennsylvania.",4-Oct-10,745 F.Supp.2d 588,2010 WL 3928589,CIV.A. 10-3898,TORTS - Conversion. Claim alleging conversion of customers and business was barred by gist of the action doctrine under Pennsylvania law.,"...employee in a New Jersey court, which found that the non- compete provisions of Grinspec's employment contracts are not enforceable with respect...",,,
2005,,"Chacko v. Sabre, Inc.",https://www.westlaw.com/Document/Ida1ad42894be11db9127cf4cfcf88547/View/FullText.html?listSource=Search&list=CASE&rank=271&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Texas, Fort Worth Division.",5-Oct-05,Not Reported in F.Supp.2d,2005 WL 3636627,4:04-CV-886-A,"Came on for consideration the motion of defendants, Sabre, Inc.; Sabre, Inc. Severance Plan; Manager, Corporate Employee Relations of Sabre, Inc., as Plan Administrator of Sabre, Inc. Severance Plan (Plan Administrator); Benefits Administration Committee of Sabre, Inc.; Michael Haefner, David Schwarte, and Eric Speck, as members of the Benefits...","...severance benefits if the employee first signed an AGR containing non- compete and non-solicitation provisions (Expanded AGR). Sabre, Inc., provided a...","...and claims against Sabre and related parties and may include non- competition/or non-solicitation provisions, as well as any other provisions...",,
2005,,"Everett J. Prescott, Inc. v. Ross",https://www.westlaw.com/Document/I6a50ca7a374d11da8cc9b4c14e983401/View/FullText.html?listSource=Search&list=CASE&rank=4&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Maine.",5-Oct-05,390 F.Supp.2d 44,2005 WL 2470520,CV-05-88-B-W,LABOR AND EMPLOYMENT - Contracts. Employer's waiver of noncompete agreement was limited.,...sued former employee competing against it in alleged violation of noncompete and nondisclosure agreement. Former employer moved for preliminary injunction barring...,"...Court Woodcock , J., held that former employer waived enforcement of noncompete agreement except within 100-mile radius of two of former...",,
2007,,"Syfact, Inc. v Das",https://www.westlaw.com/Document/I1d2c1297773211dcbd4c839f532b53c5/View/FullText.html?listSource=Search&list=CASE&rank=261&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Connecticut.",5-Oct-07,Not Reported in F.Supp.2d,2007 WL 2935824,3:07CV661 (RNC),"Pending before the court is the defendant's Motion to Compel (doc. # 42). The defendant seeks an order compelling the plaintiff to respond to the following requests for production: 1. All documents prepared for and/or distributed in connection with any Syfact corporate status meeting occurring in November 2006 which concerned, among other things,...",...and/or termination are irrelevant to the enforceability of the covenant not to compete signed by the plaintiff. Plaintiff also takes exception to the...,"...In addition to its claim that the defendant breached his covenant not to compete, the plaintiff also alleges that he violated Connecticut's Uniform Trade...",,
2009,,Vaughn Medical Equipment Repair Service L.L.C. v. Jordan Reses Supply Co.,https://www.westlaw.com/Document/Icfd78726fcf111de9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=805&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Texas, Beaumont Division.",5-Oct-09,Not Reported in F.Supp.2d,2009 WL 5216926,CIV A 109-CV-826-TH,"Before the Courtis the Defendants' Notice of Removal [Clerk's Doc. No. 1], filed on September 8, 2009, removing this case from the Texas trial court to federal district court. The Defendants argue that the case necessarily raises questions of federal law because it involves contracts with the United States Department of Veteran Affairs (VA), an...","...unchanged if they accused Defendants of behaving in the same, noncompetitive manner with a non-federal entity. Defendants may choose to...",,,
2009,,"Interlink Group Corporation v. CWT Farms Int'l, Inc.",https://www.westlaw.com/Document/I391430a0397911e799c1e9209d7cf8d2/View/FullText.html?listSource=Search&list=CASE&rank=393&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Georgia, Atlanta Division.",5-Oct-09,Slip Copy,2009 WL 10670688,1:09-CV-02109-MHS,"Before the Court are petitioner's petition to vacate an arbitration award, and respondent's response and motion to confirm the award. For the following reasons, the Court denies petitioner's petition to vacate and confirms the arbitration award. Petitioner Interlink Group Corporation (Interlink) and respondent and arbitration claimant...","...agreement. Under Georgia law, a court may blue-pencil a covenant not to compete to make an offending covenant term reasonable. Clower, D.M.D., PC v. Orthalliance, Inc. , 337 F.Supp...",...law because Georgia courts have found unlimited time periods in covenants not to compete to be valid. This Court need not determine the merits...,,
2010,,Leone v. Cataldo,https://www.westlaw.com/Document/I23bf3d1097e511e7a9cdf8f74902bf96/View/FullText.html?listSource=Search&list=CASE&rank=724&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Pennsylvania.",5-Oct-10,Slip Copy,2010 WL 11552908,07-CV-3636,"Plaintiffs Angelo Duva (Duva) and Ernesto Leone (Leone) bring suit against Anthony Cataldo (Cataldo), raising five claims: (1) breach of contract; (2) common law fraud; (3) intentional misrepresentation; (4) negligent misrepresentation; and (5) breach of the implied covenant of good faith. Cataldo...","...Cofsky Letter that provided: Seller shall provide Buyer with a covenant not to compete as part of this transaction, the terms of which will...",,,
2009,,"Conklin v. Brookfield Homes Holdings, Inc.",https://www.westlaw.com/Document/Iaa896db03f7b11e7a6b0f3e4b1d2c082/View/FullText.html?listSource=Search&list=CASE&rank=284&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, C.D. California, Southern Division.",6-Oct-09,Slip Copy,2009 WL 10671564,SACV0800452CJCPJWX,"Plaintiff Kevin Conklin brought this action against Defendants Brookfield Homes Corporation (BHC), Brookfield Homes Holdings, Inc. (BHHI), Brookfield Homes Southland, Inc. (BHSI), and Brookfield Homes Holdings, Inc., Senior Operating Long Term Participation Plan (collectively Defendants). Mr....","...In response, Mr. Conklin argues that California law prohibits the non- competition clause of the 2006 amendment. The Ninth Circuit has held that ERISA preempts state laws limiting the enforcement of non- competition clauses. Lojek v. Thomas , 716 F.2d 675, 67980...","...of action regarding top hat plans). Under federal common law, non- competition clauses are valid so long as they comply with any...","...Ex. 34; Ex. 35.) Finally, the context of the non- competition clause shows that BHHI, not a business group, is the...","...County, is the relevant company for the purposes of the non- competition clause. Second, Mr. Conklin claims that his work for Sunrise..."
2010,,"Campbell Sales Group, Inc. v. Gramercy Park Design, LLC",https://www.westlaw.com/Document/Iae61ff95d56711dfb5fdfcf739be147c/View/FullText.html?listSource=Search&list=CASE&rank=615&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, M.D. North Carolina.",6-Oct-10,Not Reported in F.Supp.2d,2010 WL 3945350,110CV55,TRADEMARKS - Injunction. Furniture distributor who failed to show that its trade dress had acquired secondary meaning was not entitled to a preliminary injunction.,"...Leather Italia USA and did not sign employment, confidentiality, or non- compete agreements. As independent sales representatives, the Individual Defendants also had...",,,
2010,,"Laboratory Corp. of America Holdings v. Cardinal Health System, Inc.",https://www.westlaw.com/Document/I43552f24d54511df952c80d2993fba83/View/FullText.html?listSource=Search&list=CASE&rank=291&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. North Carolina, Western Division.",6-Oct-10,Not Reported in F.Supp.2d,2010 WL 3945111,510CV353,This cause is before the Court upon the following motions filed by Plaintiff: 1) Motion for a preliminary injunction and expedited discovery (DE7); 2) Motion to file under seal (D E10); and 3) Motion for a scheduling conference (D E16) These motions have been referred to the undersigned (DE25) and are now ripe for adjudication. For the...,"...on behalf of themselves and their affiliates, agreed to a Non  Competition Agreement which prohibited them from competing with Plaintiff for five...","...that this conduct eviscerates the protections bargained for in the Non  Competition Agreement (DE9, pg.2). Accordingly, Plaintiff now seeks the...",...has sued Defendants for breach of their obligations under the Non  Competition Agreement entered into as part of a purchase agreement. By...,
2010,,"Daul v. PPM Energy, Inc.",https://www.westlaw.com/Document/Iae629bfcd56711dfb5fdfcf739be147c/View/FullText.html?listSource=Search&list=CASE&rank=287&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Oregon, Portland Division.",6-Oct-10,Not Reported in F.Supp.2d,2010 WL 3945001,08-CV-524-AC,"Plaintiffs Ty Daul and Raimund Grube (collectively Plaintiffs) filed this action against their former employer PPM Energy, Inc., (PPM) and the Change in Control Severance Enhancements for Key PPM Employees Plan (the Plan) (collectively Defendants) in state court. In their complaint, Plaintiffs...","...that you remain subject to the full term of your non- competition and non-solicitation agreements. Linda Wah Vice President, Human Resources...",...that Alvaro [Delgado] is not the decision maker on the non- compete issue but that Xabier [Viteri] felt strongly about it. Again...,...cause prior to the payment dates. Both are subject to non- competition and non-solicitation agreements. Raimund's non- compete is for one year and Ty's is for a minimum...,...Protection and with the understanding that the terms of their non- competition agreement would commence during the transitional employment period (which they...
2010,,"TES Franchising, LLC v. Dombach",https://www.westlaw.com/Document/Iae61637ed56711dfb5fdfcf739be147c/View/FullText.html?listSource=Search&list=CASE&rank=33&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Pennsylvania.",7-Oct-10,Not Reported in F.Supp.2d,2010 WL 3946274,CIV.A. 10-0017,LITIGATION - Injunction. There was no threat of immediate harm with respect to employee's alleged breach of a duty of loyalty to employer.,...of Relief 212IV(L) Trade or Business 212 1383 k. Non- competition and non-solicitation issues. (Formerly 212k138.39 There was no threat...,...Action International coaching franchise and with which Dombach had a non- compete agreement which prevented Dombach from placing franchisees in the Commonwealth...,"...because he represented that this arrangement would not violated his non- compete agreement with Lancaster Coaching Practice, LLC. Id., ¶¶ 4243...",...of duty of loyalty against Eric Dombach; (4) breach of covenant not to compete against Eric Dombach; (5) common law unfair competition against all...
2010,,Roberts v. Rudloff,https://www.westlaw.com/Document/Ic96fd130987a11e792fdd763512bbe26/View/FullText.html?listSource=Search&list=CASE&rank=494&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Georgia, Rome Division.",8-Oct-10,Slip Copy,2010 WL 11552937,4:10-CV-104-HLM,"This case is before the Court on Defendants' Motion to Dismiss for Lack of SubjectMatter Jurisdiction [6] and Defendants' Motion to Dismiss for Improper Venue [7]. Plaintiff Vernon Roberts is the Personal Representative of the Estate of Martha Darlene Roberts, Deceased. Defendant Schiess pled guilty regarding his participation in the events...","...F.3d 1366, 1371 (11th Cir. 2003) (concluding that when non- compete agreement was executed, and meant to be performed in Georgia...",,,
2007,,"In re OCA, Inc.",https://www.westlaw.com/Document/Ided7a4f378f411dcb979ebb8243d536d/View/FullText.html?listSource=Search&list=CASE&rank=476&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Bankruptcy Court, E.D. Louisiana.",9-Oct-07,378 B.R. 493,2007 WL 2965063,06-1113,BANKRUPTCY - Business Relationships. Debtor did not engage in the unlawful practice of dentistry.,"...anything in this Agreement to the contrary, the Orthodontic Entity's covenants and agreements not to compete provided for in Section 8.2(c) will not apply...",...pursuant to Section 5.2. The court finds that the covenants not to compete are not applicable in this case and dismisses this claim...,,
2007,,Everett v. Nefco Corp.,https://www.westlaw.com/Document/I1d2b284f773211dcbd4c839f532b53c5/View/FullText.html?listSource=Search&list=CASE&rank=301&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Connecticut.",9-Oct-07,Not Reported in F.Supp.2d,2007 WL 2936210,CIV.A.306CV00047VLB,"This is an action for payment of retirement benefits. The plaintiff, David C. Everett, claims that the defendant, Nefco Corp. (Nefco), breached its contract to pay him a total of $50,000 in retirement benefits. Everett and Nefco have each filed a motion for summary judgment. For the reasons given below, Everett's motion [Doc. # 22] is...","...305 F.3d 737, 744 (7th Cir.2002) [U]nlike a covenant not to compete, a forfeiture of benefits clause does not prevent an employee...","...certain cost on the employee for exercising his right to compete [F]orfeiture provisions, unlike covenants not to compete, do not threaten one's ability to earn a livelihood. Spitz...",,
2008,,Hendershott v. Ivy,https://www.westlaw.com/Document/I819e216066b411e7bcf2cc0f37ee205d/View/FullText.html?listSource=Search&list=CASE&rank=764&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Texas, Dallas Division.",9-Oct-08,Slip Copy,2008 WL 11349705,3-08-CV-0573-L,"Defendants have filed a motion to compel arbitration and to stay this civil action brought by plaintiff asserting claims under Texas statutory and common law. For the reasons stated herein, the motion should be granted. On April 3, 2007, Plaintiff Gary L. Hendershott and Heritage Auctions, Inc. (Heritage) entered into an Independent...","...L at 7, ¶9), and Section 10 is a noncompete provision, ( see id. Exh. L at 7, ¶10). Plaintiff...",,,
2009,,Chicago Title Ins. Corp. v. Magnuson,https://www.westlaw.com/Document/I5d5d3e4dba7711deb08de1b7506ad85b/View/FullText.html?listSource=Search&list=CASE&rank=21&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Ohio, Eastern Division.",9-Oct-09,Not Reported in F.Supp.2d,2009 WL 3321372,2:03-CV-368,"This matter is before the Court for consideration of the following sets of filings: (1) Defendant First American's Motion to Allow Additional Discovery (Doc. # 264), Plaintiff's memorandum in opposition (Doc. # 268), and Defendant's reply memorandum (Doc. # 273); (2) Plaintiff Chicago Title Insurance Company's Motion to Limit the Scope of Discovery...","...of business, in light of new or additional financial information. Non- compete covenant. On appeal, the Sixth Circuit upheld this Court's determination that the Magnuson non- compete covenant was enforceable for two years. Chicago Title Ins. Corp., 487...",...foreclose discovery related to the enforceable duration of the Magnuson non- compete agreement and posits that this Court can simply file a...,...argues that additional discovery is warranted regarding whether the Magnuson non- compete covenant is enforceable for more than the two years no longer...,"...incorporate its findings of fact on the [duration of the non- compete covenant] issue in any written opinion. Chicago Title Ins. Corp., 487..."
2009,,Zanetis v. Calder Bros. Corp.,https://www.westlaw.com/Document/I98e6daeeb8ae11de9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=551&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Indiana, Indianapolis Division.",9-Oct-09,Not Reported in F.Supp.2d,2009 WL 3270501,1:09-CV-0025DFHDML,"Plaintiff Chris Zanetis, an Indiana citizen, sold his stock in a South Dakota corporation, Pavement Services, Inc. (PSI), to defendant Calder Brothers Corporation, a South Carolina corporation. As part of the sale, Calder Brothers delivered a promissory note to Zanetis. Zanetis has sued Calder Brothers for failing to pay on the note as required....","...for closing, including a stock purchase agreement, promissory note, and non- compete agreement, and delivered the documents to Zanetis in Indiana. Zanetis...",,,
2009,,"World Properties, Inc. v. Arlon, Inc.",https://www.westlaw.com/Document/I542edc02b83811deabdfd03f2b83b8a4/View/FullText.html?listSource=Search&list=CASE&rank=475&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Connecticut.",9-Oct-09,663 F.Supp.2d 98,2009 WL 3260651,308CV1827(MRK),PATENTS - Covenant Not to Sue. Licensee of patents for substrate material used in circuit boards could not sue competitor for any infringement.,...1) competitor's products were royalty products within the meaning of covenant not to sue competitor for infringement with respect to royalty products; (2) the...,"...royalty products  within the meaning of patent assignee's and licensee's covenant not to sue competitor for infringement with respect to royalty products, even if the...",...suggested possible infringement was not course of performance evidence regarding covenant not to sue competitor for infringement; it was an internal document written by an...,
2009,,"Transfer My Timeshare, LLC v. Selway",https://www.westlaw.com/Document/I4776daafb8b011de9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=397&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. New Hampshire.",9-Oct-09,Not Reported in F.Supp.2d,2009 WL 3271326,CIV. 08-CV-118-JL,BUSINESS ORGANIZATIONS - Contracts. An agent was barred by the doctrine of unclean hands to her right to setoff or recoupment under a fraudulently induced buyout agreement for her rights to limited liability corporation.,...agreed to deliver to TMT an acceptable non-disclosure and non- competition agreement (NDA). The buyout agreement contained an express condition that...,...contingent upon her compliance with an acceptable non-disclosure and non- competition agreement. It is also true that Selway has admitted to...,,
2006,,"Asciutto v. Allied Waste Systems, Inc.",https://www.westlaw.com/Document/I240c9c8a5a6311dbb381a049c832f3c9/View/FullText.html?listSource=Search&list=CASE&rank=312&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. Michigan, Southern Division.",10-Oct-06,Not Reported in F.Supp.2d,2006 WL 2911130,05-72243,"This matter is before the Court on Defendants' Motion for Summary Judgment, filed on August 2, 2006. Plaintiff has responded, and Defendants have replied to the response. The Court finds that the facts and legal arguments are adequately presented in the parties' papers and the decision process would not be significantly aided by oral argument....",...waste disposal company called Five Star. Plaintiff had signed a non- compete agreement with Five Star that prohibited him from soliciting Five...,"...BFI. Plaintiff agreed to entry of an injunction enforcing the non- compete agreement, and resigned from Defendant BFI. Plaintiff was then hired...",,
